year,type,month,region,avgPrice,volume
2015,conventional,1,Albany,1.1725,171727.14
2015,conventional,1,Atlanta,1.08,1713388.05
2015,conventional,1,BaltimoreWashington,1.17,2808932.8
2015,conventional,1,Boise,1.075,266329.54
2015,conventional,1,Boston,1.13,1740184.78
2015,conventional,1,BuffaloRochester,1.49,443567.99
2015,conventional,1,California,0.9825,22303066.76
2015,conventional,1,Charlotte,1.22,645890.25
2015,conventional,1,Chicago,1.155,3129123.57
2015,conventional,1,CincinnatiDayton,0.915,819197.39
2015,conventional,1,Columbus,0.99,517826.41
2015,conventional,1,DallasFtWorth,0.765,4315029.77
2015,conventional,1,Denver,1.0225,2838518.57
2015,conventional,1,Detroit,1.095,1270973.04
2015,conventional,1,GrandRapids,1.06,738618.16
2015,conventional,1,GreatLakes,1.0825,12385337.78
2015,conventional,1,HarrisburgScranton,1.18,771353.21
2015,conventional,1,HartfordSpringfield,1.295,1035238.45
2015,conventional,1,Houston,0.7575,4126827.37
2015,conventional,1,Indianapolis,1.1175,597540.8
2015,conventional,1,Jacksonville,1.16,462700.72
2015,conventional,1,LasVegas,0.9625,1075038.91
2015,conventional,1,LosAngeles,0.8875,10526526.34
2015,conventional,1,Louisville,1.0125,348507.84
2015,conventional,1,MiamiFtLauderdale,1.205,1686225.11
2015,conventional,1,Midsouth,1.1525,9725911.15
2015,conventional,1,Nashville,1.055,596315.06
2015,conventional,1,NewOrleansMobile,0.97,1001098.04
2015,conventional,1,NewYork,1.29,4568264.86
2015,conventional,1,Northeast,1.24,13120598.9
2015,conventional,1,NorthernNewEngland,1.0725,1236354.82
2015,conventional,1,Orlando,1.225,886907.24
2015,conventional,1,Philadelphia,1.31,1410800.92
2015,conventional,1,PhoenixTucson,0.635,4480927.14
2015,conventional,1,Pittsburgh,1.4625,267635.98
2015,conventional,1,Plains,1.05,6272419.64
2015,conventional,1,Portland,1.055,1982506.2
2015,conventional,1,RaleighGreensboro,1.205,864629.31
2015,conventional,1,RichmondNorfolk,1.1575,750283.03
2015,conventional,1,Roanoke,1.155,457627.05
2015,conventional,1,Sacramento,1.1375,1586706.17
2015,conventional,1,SanDiego,0.9475,1873929.35
2015,conventional,1,SanFrancisco,1.1125,3291516.4
2015,conventional,1,Seattle,1.1225,2045469.79
2015,conventional,1,SouthCarolina,1.08,1176285.21
2015,conventional,1,SouthCentral,0.7925,21018878.53
2015,conventional,1,Southeast,1.125,11011192.25
2015,conventional,1,Spokane,1.115,289026.31
2015,conventional,1,StLouis,1.2225,711064.21
2015,conventional,1,Syracuse,1.3875,168070.39
2015,conventional,1,Tampa,1.1725,1064532.06
2015,conventional,1,TotalUS,1.0075,117901590.2
2015,conventional,1,West,0.935,22064185.2
2015,conventional,1,WestTexNewMexico,0.8175,2793612.27
2015,conventional,2,Albany,1.0275,209370.24
2015,conventional,2,Atlanta,1.0375,1929355.12
2015,conventional,2,BaltimoreWashington,1.1275,3239515.1
2015,conventional,2,Boise,1.0275,321607.07
2015,conventional,2,Boston,1.1725,1855323.75
2015,conventional,2,BuffaloRochester,1.385,496434.51
2015,conventional,2,California,0.92,26555221.5
2015,conventional,2,Charlotte,1.1125,762689.02
2015,conventional,2,Chicago,1.0975,3362296.6
2015,conventional,2,CincinnatiDayton,0.915,840544.77
2015,conventional,2,Columbus,0.9925,565675.88
2015,conventional,2,DallasFtWorth,0.73,4735714.49
2015,conventional,2,Denver,1,3285165.04
2015,conventional,2,Detroit,1.085,1314433.07
2015,conventional,2,GrandRapids,1.175,708149.91
2015,conventional,2,GreatLakes,1.0725,13070809.2
2015,conventional,2,HarrisburgScranton,1.125,901606.46
2015,conventional,2,HartfordSpringfield,1.295,1105921.51
2015,conventional,2,Houston,0.7425,4502282.49
2015,conventional,2,Indianapolis,1.135,653413.44
2015,conventional,2,Jacksonville,1.1175,555976.33
2015,conventional,2,LasVegas,1.0575,1187191.36
2015,conventional,2,LosAngeles,0.825,12554123.17
2015,conventional,2,Louisville,1.01,400540.12
2015,conventional,2,MiamiFtLauderdale,1.1825,1824851.98
2015,conventional,2,Midsouth,1.08,11543220.79
2015,conventional,2,Nashville,0.99,695236.99
2015,conventional,2,NewOrleansMobile,0.92,1096020.69
2015,conventional,2,NewYork,1.29,5179011.73
2015,conventional,2,Northeast,1.225,14782075.51
2015,conventional,2,NorthernNewEngland,1.0825,1329321.62
2015,conventional,2,Orlando,1.155,1125398.61
2015,conventional,2,Philadelphia,1.2325,1730569.05
2015,conventional,2,PhoenixTucson,0.6075,5018533.53
2015,conventional,2,Pittsburgh,1.33,308985.65
2015,conventional,2,Plains,1.0075,7411660.35
2015,conventional,2,Portland,1.1,2082861.11
2015,conventional,2,RaleighGreensboro,1.1125,1056133.32
2015,conventional,2,RichmondNorfolk,1.065,954429.11
2015,conventional,2,Roanoke,1.045,578672.61
2015,conventional,2,Sacramento,1.0725,1990602.25
2015,conventional,2,SanDiego,0.9225,2142933.62
2015,conventional,2,SanFrancisco,1.0725,3753715.66
2015,conventional,2,Seattle,1.1225,2326500.6
2015,conventional,2,SouthCarolina,1.025,1363939.79
2015,conventional,2,SouthCentral,0.7725,23247833.1
2015,conventional,2,Southeast,1.0775,12852782.96
2015,conventional,2,Spokane,1.0675,352960.6
2015,conventional,2,StLouis,1.185,848322.21
2015,conventional,2,Syracuse,1.2975,190394.55
2015,conventional,2,Tampa,1.11,1309571.04
2015,conventional,2,TotalUS,0.9725,134742045.2
2015,conventional,2,West,0.915,25278441.91
2015,conventional,2,WestTexNewMexico,0.765,3152507.62
2015,conventional,3,Albany,1.062,253294.82
2015,conventional,3,Atlanta,1.064,2178237.74
2015,conventional,3,BaltimoreWashington,1.202,3594133.8
2015,conventional,3,Boise,1.07,342277.98
2015,conventional,3,Boston,1.18,2218694.89
2015,conventional,3,BuffaloRochester,1.408,581295.54
2015,conventional,3,California,1.004,29161175.69
2015,conventional,3,Charlotte,1.208,881141.72
2015,conventional,3,Chicago,1.158,4020617.7
2015,conventional,3,CincinnatiDayton,0.926,1053156.12
2015,conventional,3,Columbus,0.978,749651.81
2015,conventional,3,DallasFtWorth,0.75,6072107.45
2015,conventional,3,Denver,1.07,3283403.22
2015,conventional,3,Detroit,1.01,1690990.31
2015,conventional,3,GrandRapids,1.08,996225.87
2015,conventional,3,GreatLakes,1.058,16367746.36
2015,conventional,3,HarrisburgScranton,1.128,1030383.36
2015,conventional,3,HartfordSpringfield,1.256,1285370.79
2015,conventional,3,Houston,0.802,5353446.12
2015,conventional,3,Indianapolis,1.122,792328.84
2015,conventional,3,Jacksonville,1.136,684490.67
2015,conventional,3,LasVegas,0.974,1511010.59
2015,conventional,3,LosAngeles,0.912,13615707.63
2015,conventional,3,Louisville,1.08,387129.29
2015,conventional,3,MiamiFtLauderdale,1.172,2388042.09
2015,conventional,3,Midsouth,1.166,12600721.87
2015,conventional,3,Nashville,1.046,774998.22
2015,conventional,3,NewOrleansMobile,1.02,1226404.76
2015,conventional,3,NewYork,1.336,5941749.46
2015,conventional,3,Northeast,1.248,17184715.33
2015,conventional,3,NorthernNewEngland,1.11,1640288.77
2015,conventional,3,Orlando,1.154,1341948.43
2015,conventional,3,Philadelphia,1.33,1862617.53
2015,conventional,3,PhoenixTucson,0.66,5720615.89
2015,conventional,3,Pittsburgh,1.182,435374.13
2015,conventional,3,Plains,1.094,8049027.25
2015,conventional,3,Portland,1.124,2239413.17
2015,conventional,3,RaleighGreensboro,1.208,1151919.43
2015,conventional,3,RichmondNorfolk,1.15,1001505.21
2015,conventional,3,Roanoke,1.122,586016.19
2015,conventional,3,Sacramento,1.138,2064641.5
2015,conventional,3,SanDiego,0.976,2506078.37
2015,conventional,3,SanFrancisco,1.172,4234101.46
2015,conventional,3,Seattle,1.18,2473911.23
2015,conventional,3,SouthCarolina,1.09,1576631.84
2015,conventional,3,SouthCentral,0.808,28605026.2
2015,conventional,3,Southeast,1.108,15304476.47
2015,conventional,3,Spokane,1.124,379643.67
2015,conventional,3,StLouis,1.296,846323.39
2015,conventional,3,Syracuse,1.316,236768.56
2015,conventional,3,Tampa,1.128,1584579.97
2015,conventional,3,TotalUS,1.016,155157137.7
2015,conventional,3,West,0.96,27884248.49
2015,conventional,3,WestTexNewMexico,0.782,4017914.61
2015,conventional,4,Albany,1.175,194376.61
2015,conventional,4,Atlanta,1.0675,1713804.48
2015,conventional,4,BaltimoreWashington,1.2525,3036398.78
2015,conventional,4,Boise,1.0575,320756.89
2015,conventional,4,Boston,1.24,1828834.37
2015,conventional,4,BuffaloRochester,1.4225,518894.97
2015,conventional,4,California,1.095,21898445.91
2015,conventional,4,Charlotte,1.185,745010.29
2015,conventional,4,Chicago,1.2475,3074928.47
2015,conventional,4,CincinnatiDayton,1.04,826554.66
2015,conventional,4,Columbus,1.045,589858.82
2015,conventional,4,DallasFtWorth,0.775,4831699.82
2015,conventional,4,Denver,1.1275,2922257.17
2015,conventional,4,Detroit,1.025,1396453.67
2015,conventional,4,GrandRapids,1.0925,805497.67
2015,conventional,4,GreatLakes,1.1225,12926541.14
2015,conventional,4,HarrisburgScranton,1.1925,889672.48
2015,conventional,4,HartfordSpringfield,1.3225,1046427.75
2015,conventional,4,Houston,0.8075,4360985.23
2015,conventional,4,Indianapolis,1.16,635285.04
2015,conventional,4,Jacksonville,1.1175,580449.87
2015,conventional,4,LasVegas,0.8175,1401413.62
2015,conventional,4,LosAngeles,0.9725,10659674.01
2015,conventional,4,Louisville,1.0675,325563.97
2015,conventional,4,MiamiFtLauderdale,1.1475,2113351.25
2015,conventional,4,Midsouth,1.175,10759716.71
2015,conventional,4,Nashville,1.0625,620770.49
2015,conventional,4,NewOrleansMobile,0.9625,1002758.02
2015,conventional,4,NewYork,1.425,4956836.51
2015,conventional,4,Northeast,1.335,14103488.64
2015,conventional,4,NorthernNewEngland,1.18,1273835.31
2015,conventional,4,Orlando,1.1375,1165128.76
2015,conventional,4,Philadelphia,1.44,1476293.03
2015,conventional,4,PhoenixTucson,0.5675,4978875.02
2015,conventional,4,Pittsburgh,1.43,301238.71
2015,conventional,4,Plains,1.0875,7417357.64
2015,conventional,4,Portland,1.08,2048534.12
2015,conventional,4,RaleighGreensboro,1.1275,1035537.48
2015,conventional,4,RichmondNorfolk,1.115,902342.39
2015,conventional,4,Roanoke,1.1225,533819.45
2015,conventional,4,Sacramento,1.2325,1569478.64
2015,conventional,4,SanDiego,1.0675,1909216.02
2015,conventional,4,SanFrancisco,1.32,2972085.9
2015,conventional,4,Seattle,1.2275,1923305.6
2015,conventional,4,SouthCarolina,1.0825,1310874.08
2015,conventional,4,SouthCentral,0.82,23471667.34
2015,conventional,4,Southeast,1.095,12790343.08
2015,conventional,4,Spokane,1.1175,310034.07
2015,conventional,4,StLouis,1.32,736767.12
2015,conventional,4,Syracuse,1.385,198456.57
2015,conventional,4,Tampa,1.1075,1363767.76
2015,conventional,4,TotalUS,1.045,127532485.1
2015,conventional,4,West,0.9275,24164924.67
2015,conventional,4,WestTexNewMexico,0.74,3639829.18
2015,conventional,5,Albany,1.262,486077.58
2015,conventional,5,Atlanta,1.054,2643449.02
2015,conventional,5,BaltimoreWashington,1.214,4400870.62
2015,conventional,5,Boise,1.004,419142.2
2015,conventional,5,Boston,1.194,2911098.55
2015,conventional,5,BuffaloRochester,1.386,697152.89
2015,conventional,5,California,0.994,32365647.9
2015,conventional,5,Charlotte,1.158,1052217.86
2015,conventional,5,Chicago,1.198,4322861.84
2015,conventional,5,CincinnatiDayton,1.068,1177091.84
2015,conventional,5,Columbus,1.04,835917.73
2015,conventional,5,DallasFtWorth,0.748,6362878.85
2015,conventional,5,Denver,1.144,3367200.59
2015,conventional,5,Detroit,1.048,1928379.76
2015,conventional,5,GrandRapids,1.2,1002520.47
2015,conventional,5,GreatLakes,1.128,17881364.52
2015,conventional,5,HarrisburgScranton,1.196,1338061.18
2015,conventional,5,HartfordSpringfield,1.274,1693699.76
2015,conventional,5,Houston,0.774,5876252.98
2015,conventional,5,Indianapolis,1.222,850114.82
2015,conventional,5,Jacksonville,1.132,824566.12
2015,conventional,5,LasVegas,0.976,1590569.32
2015,conventional,5,LosAngeles,0.872,16177747
2015,conventional,5,Louisville,1.076,426447.07
2015,conventional,5,MiamiFtLauderdale,1.156,2980039.14
2015,conventional,5,Midsouth,1.14,15342789.01
2015,conventional,5,Nashville,1.028,899144.9
2015,conventional,5,NewOrleansMobile,1.002,1332881.5
2015,conventional,5,NewYork,1.354,8061491.37
2015,conventional,5,Northeast,1.276,23181338.65
2015,conventional,5,NorthernNewEngland,1.12,2293780.39
2015,conventional,5,Orlando,1.14,1653904.1
2015,conventional,5,Philadelphia,1.362,2349881.12
2015,conventional,5,PhoenixTucson,0.616,5897593.32
2015,conventional,5,Pittsburgh,1.236,640514.33
2015,conventional,5,Plains,1.044,10285873.23
2015,conventional,5,Portland,0.988,3013056.25
2015,conventional,5,RaleighGreensboro,1.13,1397340.4
2015,conventional,5,RichmondNorfolk,1.028,1369123.27
2015,conventional,5,Roanoke,1.066,700962.15
2015,conventional,5,Sacramento,1.16,2336589.86
2015,conventional,5,SanDiego,0.93,2840522.56
2015,conventional,5,SanFrancisco,1.256,4218661.53
2015,conventional,5,Seattle,1.116,2922605.37
2015,conventional,5,SouthCarolina,1.074,1864348.45
2015,conventional,5,SouthCentral,0.786,31044406.57
2015,conventional,5,Southeast,1.092,18069244.89
2015,conventional,5,Spokane,1.05,456797.69
2015,conventional,5,StLouis,1.2,1163964.96
2015,conventional,5,Syracuse,1.378,325373.45
2015,conventional,5,Tampa,1.114,1854093.33
2015,conventional,5,TotalUS,1.022,178784619.4
2015,conventional,5,West,0.934,30613954.65
2015,conventional,5,WestTexNewMexico,0.728,4730627.31
2015,conventional,6,Albany,1.2575,406758.56
2015,conventional,6,Atlanta,1.0525,2006788.3
2015,conventional,6,BaltimoreWashington,1.165,3474459.48
2015,conventional,6,Boise,1.0525,325036.48
2015,conventional,6,Boston,1.205,2350888.92
2015,conventional,6,BuffaloRochester,1.395,526186.96
2015,conventional,6,California,1.03,24710844.52
2015,conventional,6,Charlotte,1.16,801901.29
2015,conventional,6,Chicago,1.225,3283566.38
2015,conventional,6,CincinnatiDayton,1.0375,932523.22
2015,conventional,6,Columbus,0.9925,683469.26
2015,conventional,6,DallasFtWorth,0.725,5251383.65
2015,conventional,6,Denver,1.1575,2953416.82
2015,conventional,6,Detroit,0.995,1574561.15
2015,conventional,6,GrandRapids,1.0675,831514.91
2015,conventional,6,GreatLakes,1.1,14170071.11
2015,conventional,6,HarrisburgScranton,1.1825,1042186.44
2015,conventional,6,HartfordSpringfield,1.24,1337764.37
2015,conventional,6,Houston,0.705,5037623.3
2015,conventional,6,Indianapolis,1.1025,732742.21
2015,conventional,6,Jacksonville,1.0725,647774.67
2015,conventional,6,LasVegas,0.9525,1357340.64
2015,conventional,6,LosAngeles,0.87,12912157.59
2015,conventional,6,Louisville,1.1,328733.03
2015,conventional,6,MiamiFtLauderdale,1.105,2235154.25
2015,conventional,6,Midsouth,1.125,11906398.56
2015,conventional,6,Nashville,1.0025,710517.13
2015,conventional,6,NewOrleansMobile,0.9925,1106044.14
2015,conventional,6,NewYork,1.32,6046010.64
2015,conventional,6,Northeast,1.26,17893083.43
2015,conventional,6,NorthernNewEngland,1.1325,1843628.74
2015,conventional,6,Orlando,1.0775,1319595.85
2015,conventional,6,Philadelphia,1.345,1734255.99
2015,conventional,6,PhoenixTucson,0.5725,5109901.38
2015,conventional,6,Pittsburgh,1.2925,377174.11
2015,conventional,6,Plains,1.065,7749173.22
2015,conventional,6,Portland,1.12,2254556.87
2015,conventional,6,RaleighGreensboro,1.1475,1066950.26
2015,conventional,6,RichmondNorfolk,1.0025,1039070.73
2015,conventional,6,Roanoke,1.04,554270.38
