Month,Year,Region,Volume
Mar,2019,West,1753.21822
Mar,2019,Northeast,1716.91996
Apr,2017,West,1636.57429
May,2016,West,1624.9524
Feb,2018,Northeast,1604.3284
Apr,2016,West,1511.43307
Jan,2019,Northeast,1459.34765
Apr,2019,West,1422.92485
May,2017,West,1418.60007
Mar,2017,West,1406.77515
Mar,2018,Northeast,1395.67643
Mar,2015,West,1321.27149
Apr,2019,Northeast,1319.25112
Oct,2017,Northeast,1309.94219
May,2015,West,1296.53354
Mar,2016,West,1289.22633
Dec,2017,West,1275.82827
Feb,2019,Northeast,1274.02672
Jan,2019,West,1206.2549
Dec,2017,Northeast,1188.12409
Mar,2019,California,1161.6043
Apr,2017,Northeast,1151.73611
Jan,2017,West,1140.80028
Feb,2019,West,1136.85767
May,2016,California,1098.90252
Mar,2018,West,1093.85559
Feb,2017,Northeast,1089.72093
Feb,2018,West,1085.41121
Jan,2018,Northeast,1072.05619
Jul,2017,Northeast,1058.48927
Mar,2018,GreatLakes,1049.93603
Apr,2015,West,1038.55553
Jan,2016,West,1018.29737
Jul,2016,West,1010.51413
Jul,2016,California,989.24831
Jan,2019,Great Lakes,986.94364
Apr,2017,California,969.44706
Nov,2015,West,967.00894
Feb,2017,West,965.54972
Sep,2017,Northeast,961.51032
Aug,2015,West,948.34094
Mar,2019,Midsouth,946.81634
Apr,2019,California,941.48084
Oct,2017,GreatLakes,937.04395
Mar,2019,Great Lakes,936.83232
Feb,2019,California,934.89305
Jun,2017,Northeast,933.35136
Jun,2017,West,927.68633
Jul,2017,GreatLakes,919.58907
Jul,2017,West,909.61555
Mar,2017,GreatLakes,907.3781
Jan,2018,GreatLakes,903.99692
Aug,2017,Northeast,883.00343
Jan,2018,West,880.48279
Apr,2017,GreatLakes,879.87135
Mar,2017,Northeast,879.85867
Feb,2019,Great Lakes,869.49694
Mar,2018,California,869.00677
Mar,2019,South Central,868.03202
Nov,2017,Northeast,865.64397
Dec,2016,West,858.33991
Jan,2019,California,849.1412
Aug,2016,SouthCentral,844.34162
Jun,2016,West,837.62368
Feb,2016,West,835.80362
Mar,2017,California,834.75687
Jun,2015,West,830.46885
Jan,2015,West,828.94917
Oct,2017,Midsouth,824.88274
Dec,2017,GreatLakes,823.03731
Apr,2017,SouthCentral,819.57318
Feb,2015,West,817.76965
Jan,2018,Midsouth,816.90569
Jan,2019,Midsouth,802.83698
Apr,2016,California,796.00103
Feb,2017,GreatLakes,791.03451
May,2017,Northeast,788.54675
Jan,2017,California,786.30216
Feb,2018,NewYork,780.29444
Jun,2016,California,776.64765
May,2019,West,772.157
Aug,2016,California,771.06817
Oct,2017,West,767.02825
May,2017,California,759.52148
Feb,2019,Midsouth,759.22614
Mar,2016,California,755.70854
Jul,2017,SouthCentral,749.64252
Jul,2015,West,744.02891
Jun,2017,California,735.21792
Jan,2018,California,725.9964
May,2019,Northeast,723.619
Feb,2017,California,720.99076
Mar,2018,Midsouth,715.74796
Feb,2018,California,702.75971
Jul,2017,California,702.71177
Jun,2017,GreatLakes,696.31138
Jan,2016,California,695.96982
