Month,Year,Region,Volume
Jan,2015,Albany,4.79087
Jan,2016,Albany,7.13109
Jan,2017,Albany,9.28175
Jan,2018,Albany,19.29195
Jan,2019,Albany,19.68011
Jan,2015,Atlanta,14.9319
Jan,2016,Atlanta,31.58006
Jan,2017,Atlanta,34.69416
Jan,2018,Atlanta,64.86704
Jan,2019,Atlanta,60.62083
Jan,2019,Baltimore/Washington,229.21952
Jan,2015,BaltimoreWashington,74.59135
Jan,2016,BaltimoreWashington,88.30687
Jan,2017,BaltimoreWashington,88.43013
Jan,2018,BaltimoreWashington,230.58927
Jan,2015,Boise,8.03227
Jan,2016,Boise,8.08024
Jan,2017,Boise,16.32879
Jan,2018,Boise,9.5498
Jan,2019,Boise,13.74483
Jan,2015,Boston,8.56757
Jan,2016,Boston,41.78034
Jan,2017,Boston,78.6936
Jan,2018,Boston,117.11569
Jan,2019,Boston,141.21167
Jan,2019,Buffalo/Rochester,69.96225
Jan,2015,BuffaloRochester,5.36609
Jan,2016,BuffaloRochester,20.43096
Jan,2017,BuffaloRochester,15.77049
Jan,2018,BuffaloRochester,40.6754
Jan,2015,California,617.36607
Jan,2016,California,695.96982
Jan,2017,California,786.30216
Jan,2018,California,725.9964
Jan,2019,California,849.1412
Jan,2015,Charlotte,10.74776
Jan,2016,Charlotte,19.66231
Jan,2017,Charlotte,48.13204
Jan,2018,Charlotte,73.11854
Jan,2019,Charlotte,54.64677
Jan,2015,Chicago,54.09029
Jan,2016,Chicago,139.68763
Jan,2017,Chicago,195.85414
Jan,2018,Chicago,163.98875
Jan,2019,Chicago,331.88468
Jan,2019,Cincinnati/Dayton,44.51634
Jan,2015,CincinnatiDayton,40.32132
Jan,2016,CincinnatiDayton,56.97308
Jan,2017,CincinnatiDayton,52.53153
Jan,2018,CincinnatiDayton,65.96802
Jan,2015,Columbus,16.99942
Jan,2016,Columbus,25.75434
Jan,2017,Columbus,34.31939
Jan,2018,Columbus,39.66106
Jan,2019,Columbus,43.09918
Jan,2019,Dallas/Ft. Worth,131.46509
Jan,2015,DallasFtWorth,45.90501
Jan,2016,DallasFtWorth,66.32184
Jan,2017,DallasFtWorth,111.93013
Jan,2018,DallasFtWorth,97.0172
Jan,2015,Denver,117.90025
Jan,2016,Denver,216.60349
Jan,2017,Denver,159.16304
Jan,2018,Denver,133.86513
Jan,2019,Denver,111.92433
Jan,2015,Detroit,30.73364
Jan,2016,Detroit,55.41457
Jan,2017,Detroit,50.87994
Jan,2018,Detroit,85.95218
Jan,2019,Detroit,71.26745
Jan,2019,Grand Rapids,52.84263
Jan,2015,GrandRapids,3.19214
Jan,2016,GrandRapids,13.49117
Jan,2017,GrandRapids,9.4938
Jan,2018,GrandRapids,38.57601
Jan,2019,Great Lakes,986.94364
Jan,2015,GreatLakes,237.23017
Jan,2016,GreatLakes,478.83975
Jan,2017,GreatLakes,592.67624
Jan,2018,GreatLakes,903.99692
Jan,2019,Harrisburg/Scranton,104.35503
Jan,2015,HarrisburgScranton,10.30701
Jan,2016,HarrisburgScranton,36.23829
Jan,2017,HarrisburgScranton,39.06791
Jan,2018,HarrisburgScranton,82.6008
Jan,2019,Hartford/Springfield,78.84965
Jan,2015,HartfordSpringfield,12.73699
Jan,2016,HartfordSpringfield,22.80883
Jan,2017,HartfordSpringfield,52.05712
Jan,2018,HartfordSpringfield,60.93639
Jan,2015,Houston,37.87787
Jan,2016,Houston,52.21235
Jan,2017,Houston,129.93016
Jan,2018,Houston,125.52801
Jan,2019,Houston,117.49577
Jan,2015,Indianapolis,5.49595
Jan,2016,Indianapolis,13.07989
Jan,2017,Indianapolis,21.77474
Jan,2018,Indianapolis,41.96754
Jan,2019,Indianapolis,38.95178
Jan,2015,Jacksonville,5.17362
Jan,2016,Jacksonville,16.87544
Jan,2017,Jacksonville,20.97952
Jan,2018,Jacksonville,15.01278
Jan,2019,Jacksonville,12.12291
Jan,2019,Las Vegas,58.3151
Jan,2015,LasVegas,24.26537
Jan,2016,LasVegas,40.98232
Jan,2017,LasVegas,51.59915
Jan,2018,LasVegas,36.34095
Jan,2019,Los Angeles,427.64624
Jan,2015,LosAngeles,196.45536
Jan,2016,LosAngeles,367.92767
Jan,2017,LosAngeles,476.7652
Jan,2018,LosAngeles,385.60951
Jan,2015,Louisville,5.13955
Jan,2016,Louisville,6.98223
Jan,2017,Louisville,9.26326
Jan,2018,Louisville,15.77602
Jan,2019,Louisville,18.69269
Jan,2019,Miami/Ft. Lauderdale,40.76591
Jan,2015,MiamiFtLauderdale,7.01121
Jan,2016,MiamiFtLauderdale,27.26967
Jan,2017,MiamiFtLauderdale,29.53599
Jan,2018,MiamiFtLauderdale,30.89481
Jan,2015,Midsouth,231.04036
Jan,2016,Midsouth,342.97424
Jan,2017,Midsouth,443.48903
Jan,2018,Midsouth,816.90569
Jan,2019,Midsouth,802.83698
Jan,2015,Nashville,14.42575
Jan,2016,Nashville,28.56062
Jan,2017,Nashville,19.75957
Jan,2018,Nashville,30.47627
Jan,2019,Nashville,22.23506
Jan,2019,New Orleans/Mobile,12.26192
Jan,2019,New York,493.53741
Jan,2015,NewOrleansMobile,10.114
Jan,2016,NewOrleansMobile,15.97519
Jan,2017,NewOrleansMobile,18.73722
Jan,2018,NewOrleansMobile,27.7456
Jan,2015,NewYork,55.68831
Jan,2016,NewYork,129.04838
Jan,2017,NewYork,219.90787
Jan,2018,NewYork,337.41119
Jan,2015,Northeast,174.02286
Jan,2016,Northeast,432.79657
Jan,2017,Northeast,650.07665
Jan,2018,Northeast,1072.05619
Jan,2019,Northeast,1459.34765
Jan,2019,Northern New England,158.28569
Jan,2015,NorthernNewEngland,28.1629
Jan,2016,NorthernNewEngland,50.27665
Jan,2017,NorthernNewEngland,59.13123
Jan,2018,NorthernNewEngland,121.21508
Jan,2015,Orlando,7.74511
Jan,2016,Orlando,25.56386
Jan,2017,Orlando,32.23707
Jan,2018,Orlando,29.13076
Jan,2019,Orlando,31.27405
Jan,2015,Philadelphia,15.0914
Jan,2016,Philadelphia,53.62632
Jan,2017,Philadelphia,52.14397
Jan,2018,Philadelphia,109.68421
Jan,2019,Philadelphia,160.7061
Jan,2019,Phoenix/Tucson,91.19956
Jan,2015,PhoenixTucson,54.4333
Jan,2016,PhoenixTucson,51.91673
Jan,2017,PhoenixTucson,57.3212
Jan,2018,PhoenixTucson,55.67859
Jan,2015,Pittsburgh,7.89217
Jan,2016,Pittsburgh,6.62835
Jan,2017,Pittsburgh,44.40336
Jan,2018,Pittsburgh,48.19375
Jan,2019,Pittsburgh,60.91097
Jan,2015,Plains,131.68565
Jan,2016,Plains,228.75973
Jan,2017,Plains,273.40284
Jan,2018,Plains,248.35317
Jan,2019,Plains,356.50418
Jan,2015,Portland,158.81161
Jan,2016,Portland,130.57553
Jan,2017,Portland,195.5227
Jan,2018,Portland,95.04823
Jan,2019,Portland,138.21649
Jan,2019,Raleigh/Greensboro,70.09462
Jan,2015,RaleighGreensboro,14.11557
Jan,2016,RaleighGreensboro,26.53374
Jan,2017,RaleighGreensboro,52.75553
Jan,2018,RaleighGreensboro,100.25996
Jan,2019,Richmond/Norfolk,85.51586
Jan,2015,RichmondNorfolk,14.4675
Jan,2016,RichmondNorfolk,26.27834
Jan,2017,RichmondNorfolk,35.13091
Jan,2018,RichmondNorfolk,70.34746
Jan,2015,Roanoke,20.57544
Jan,2016,Roanoke,26.34607
Jan,2017,Roanoke,30.06859
Jan,2018,Roanoke,34.67065
Jan,2019,Roanoke,41.24451
Jan,2015,Sacramento,63.75268
Jan,2016,Sacramento,38.85204
Jan,2017,Sacramento,29.35902
Jan,2018,Sacramento,33.01661
Jan,2019,Sacramento,45.97529
Jan,2019,San Diego,72.67575
Jan,2019,San Francisco,138.80985
Jan,2015,SanDiego,64.78469
Jan,2016,SanDiego,62.53966
Jan,2017,SanDiego,73.14087
Jan,2018,SanDiego,74.77268
Jan,2015,SanFrancisco,120.93665
Jan,2016,SanFrancisco,103.36862
Jan,2017,SanFrancisco,93.36016
Jan,2018,SanFrancisco,105.74433
Jan,2015,Seattle,154.4539
Jan,2016,Seattle,164.54489
Jan,2017,Seattle,226.16333
Jan,2018,Seattle,204.96836
Jan,2019,Seattle,346.32132
Jan,2019,South Carolina,79.69828
Jan,2019,South Central,594.72068
Jan,2015,SouthCarolina,11.5463
Jan,2016,SouthCarolina,28.08609
Jan,2017,SouthCarolina,43.83835
Jan,2018,SouthCarolina,70.88583
Jan,2015,SouthCentral,231.0278
Jan,2016,SouthCentral,327.18354
Jan,2017,SouthCentral,548.42534
Jan,2018,SouthCentral,548.84778
Jan,2015,Southeast,100.60584
Jan,2016,Southeast,252.33323
Jan,2017,Southeast,287.73433
Jan,2018,Southeast,418.31158
Jan,2019,Southeast,394.15732
Jan,2015,Spokane,18.24025
Jan,2016,Spokane,14.06753
Jan,2017,Spokane,19.51118
Jan,2018,Spokane,17.03429
Jan,2019,Spokane,22.26799
Jan,2019,St. Louis,74.4785
Jan,2015,StLouis,14.41451
Jan,2016,StLouis,48.85558
Jan,2017,StLouis,30.30941
Jan,2018,StLouis,32.47221
Jan,2015,Syracuse,2.82839
Jan,2016,Syracuse,7.48886
Jan,2017,Syracuse,11.06445
Jan,2018,Syracuse,18.66094
Jan,2019,Syracuse,32.56799
Jan,2015,Tampa,6.35534
Jan,2016,Tampa,24.93131
Jan,2017,Tampa,32.14323
Jan,2018,Tampa,29.17551
Jan,2019,Tampa,27.92979
Jan,2019,Total U.S.,6649.9064
Jan,2015,TotalUS,2551.92789
Jan,2016,TotalUS,3777.15426
Jan,2017,TotalUS,4722.90707
Jan,2018,TotalUS,5614.95052
Jan,2015,West,828.94917
Jan,2016,West,1018.29737
Jan,2017,West,1140.80028
Jan,2018,West,880.48279
Jan,2019,West,1206.2549
Jan,2019,West Tex/New Mexico,91.22859
Jan,2015,WestTexNewMexico,25.8768
Jan,2016,WestTexNewMexico,59.35003
Jan,2017,WestTexNewMexico,80.9675
Jan,2018,WestTexNewMexico,61.3496
Feb,2015,Albany,5.33401
Feb,2016,Albany,5.26926
Feb,2017,Albany,8.26927
Feb,2018,Albany,20.86569
Feb,2019,Albany,17.16357
Feb,2015,Atlanta,39.70721
Feb,2016,Atlanta,21.48679
Feb,2017,Atlanta,56.94738
Feb,2018,Atlanta,53.25835
Feb,2019,Atlanta,63.58157
Feb,2019,Baltimore/Washington,207.0606
Feb,2015,BaltimoreWashington,83.0834
Feb,2016,BaltimoreWashington,64.68904
Feb,2017,BaltimoreWashington,74.96767
Feb,2018,BaltimoreWashington,186.9572
Feb,2015,Boise,8.04149
Feb,2016,Boise,6.06555
Feb,2017,Boise,10.5734
Feb,2018,Boise,10.1563
Feb,2019,Boise,14.12678
Feb,2015,Boston,11.63998
Feb,2016,Boston,39.6419
Feb,2017,Boston,70.72585
Feb,2018,Boston,113.1902
Feb,2019,Boston,127.39362
Feb,2019,Buffalo/Rochester,61.6436
Feb,2015,BuffaloRochester,13.31448
Feb,2016,BuffaloRochester,21.85945
Feb,2017,BuffaloRochester,16.27759
Feb,2018,BuffaloRochester,47.58198
Feb,2015,California,581.74355
Feb,2016,California,690.97355
Feb,2017,California,720.99076
Feb,2018,California,702.75971
Feb,2019,California,934.89305
Feb,2015,Charlotte,13.87424
Feb,2016,Charlotte,14.24643
Feb,2017,Charlotte,35.48204
Feb,2018,Charlotte,48.85428
Feb,2019,Charlotte,60.25422
Feb,2015,Chicago,45.11263
Feb,2016,Chicago,126.31365
Feb,2017,Chicago,161.55746
Feb,2018,Chicago,155.27024
Feb,2019,Chicago,325.5126
Feb,2019,Cincinnati/Dayton,33.91482
Feb,2015,CincinnatiDayton,43.05586
Feb,2016,CincinnatiDayton,51.10084
Feb,2017,CincinnatiDayton,137.78639
Feb,2018,CincinnatiDayton,46.85985
Feb,2015,Columbus,15.91697
Feb,2016,Columbus,18.17058
Feb,2017,Columbus,58.52673
Feb,2018,Columbus,31.57186
Feb,2019,Columbus,34.90166
Feb,2019,Dallas/Ft. Worth,135.36568
Feb,2015,DallasFtWorth,49.03592
Feb,2016,DallasFtWorth,65.72737
Feb,2017,DallasFtWorth,82.75757
Feb,2018,DallasFtWorth,105.04966
Feb,2015,Denver,94.78111
Feb,2016,Denver,130.18477
Feb,2017,Denver,140.82827
Feb,2018,Denver,112.35349
Feb,2019,Denver,115.25206
Feb,2015,Detroit,29.4223
Feb,2016,Detroit,43.03166
Feb,2017,Detroit,108.83
Feb,2018,Detroit,64.8181
Feb,2019,Detroit,51.48907
Feb,2019,Grand Rapids,42.01826
Feb,2015,GrandRapids,3.59068
Feb,2016,GrandRapids,9.63544
Feb,2017,GrandRapids,15.16346
Feb,2018,GrandRapids,31.95405
Feb,2019,Great Lakes,869.49694
Feb,2015,GreatLakes,236.59984
Feb,2016,GreatLakes,395.10594
Feb,2017,GreatLakes,791.03451
Feb,2018,GreatLakes,694.11856
Feb,2019,Harrisburg/Scranton,92.68482
Feb,2015,HarrisburgScranton,15.30631
Feb,2016,HarrisburgScranton,25.23441
Feb,2017,HarrisburgScranton,39.10091
Feb,2018,HarrisburgScranton,84.78064
Feb,2019,Hartford/Springfield,63.92694
Feb,2015,HartfordSpringfield,18.89613
Feb,2016,HartfordSpringfield,26.61298
Feb,2017,HartfordSpringfield,77.66696
Feb,2018,HartfordSpringfield,94.35869
Feb,2015,Houston,42.7255
Feb,2016,Houston,52.42957
Feb,2017,Houston,150.29302
Feb,2018,Houston,108.1611
Feb,2019,Houston,127.00346
Feb,2015,Indianapolis,6.81662
Feb,2016,Indianapolis,10.34472
Feb,2017,Indianapolis,18.45152
Feb,2018,Indianapolis,34.97567
Feb,2019,Indianapolis,34.41641
Feb,2015,Jacksonville,7.4563
Feb,2016,Jacksonville,9.88576
Feb,2017,Jacksonville,14.05339
Feb,2018,Jacksonville,18.43342
Feb,2019,Jacksonville,12.16283
Feb,2019,Las Vegas,55.16921
Feb,2015,LasVegas,28.21106
Feb,2016,LasVegas,36.5515
Feb,2017,LasVegas,82.97407
Feb,2018,LasVegas,40.28323
Feb,2019,Los Angeles,409.09331
Feb,2015,LosAngeles,183.59554
Feb,2016,LosAngeles,390.51973
Feb,2017,LosAngeles,446.17105
Feb,2018,LosAngeles,373.08321
