Month,Year,Region,Volume,Type,LogVolume
May,2019,Jacksonville,1868,organic,3.27137687189407
Jan,2015,Syracuse,2828.39,organic,3.45153929309164
Jul,2015,Syracuse,2985.93,organic,3.47507962222019
Jan,2015,GrandRapids,3192.14,organic,3.50408193026458
Feb,2015,GrandRapids,3590.68,organic,3.55517670269592
Dec,2015,Pittsburgh,3595.01,organic,3.55570010276863
Sep,2015,Albany,3659.69,organic,3.56344429933121
Jun,2017,NewOrleansMobile,3913.5,organic,3.5925653381559
Sep,2015,Boise,3999.74,organic,3.60203176126915
Oct,2016,MiamiFtLauderdale,4005.98,organic,3.60270877673207
May,2019,Tampa,4110,organic,3.61384182187607
Feb,2016,Louisville,4262.48,organic,3.6296623542504
Dec,2015,Louisville,4290.2,organic,3.63247753854178
Dec,2015,Albany,4306.96,organic,3.63417083836117
Feb,2016,Pittsburgh,4367.59,organic,3.6402418629625
Nov,2016,Syracuse,4382.69,organic,3.64174075286918
Nov,2016,GrandRapids,4403.97,organic,3.64384435188036
Oct,2015,Albany,4447.08,organic,3.64807494218697
Apr,2015,GrandRapids,4505.37,organic,3.65373046287555
Jul,2015,Pittsburgh,4607.59,organic,3.66347382704285
Oct,2016,Syracuse,4666.04,organic,3.66894845749777
Jul,2015,GrandRapids,4724.26,organic,3.67433379102828
Jan,2015,Albany,4790.87,organic,3.6804143864606
Jun,2016,Albany,4791.34,organic,3.68045699007848
Jul,2015,MiamiFtLauderdale,4882.13,organic,3.68860933950783
Mar,2015,GrandRapids,5044.18,organic,3.70279057584155
Jun,2017,GrandRapids,5050.22,organic,3.70331029746617
Feb,2015,Syracuse,5056.7,organic,3.70386718890853
Jun,2015,GrandRapids,5096.74,organic,3.70729247948917
Oct,2016,BuffaloRochester,5135.55,organic,3.71058696189122
Dec,2015,MiamiFtLauderdale,5139.12,organic,3.71088875871054
Jan,2015,Louisville,5139.55,organic,3.71092509544036
Jan,2015,Jacksonville,5173.62,organic,3.71379452682279
Sep,2015,Syracuse,5233.57,organic,3.71879803731442
Nov,2015,Albany,5253.01,organic,3.72040822755747
Feb,2016,Albany,5269.26,organic,3.72174962840377
Jul,2015,Albany,5273.8,organic,3.72212365588151
Mar,2016,Pittsburgh,5286.85,organic,3.72319698865432
Feb,2015,Louisville,5323.29,organic,3.72618012613313
Apr,2016,Pittsburgh,5331.39,organic,3.72684045304696
Feb,2015,Albany,5334.01,organic,3.72705382555347
Aug,2015,Syracuse,5337.68,organic,3.72735253378271
Jun,2015,Albany,5343.82,organic,3.72785182103873
Jan,2015,BuffaloRochester,5366.09,organic,3.72965795237908
Dec,2016,Syracuse,5394.53,organic,3.73195361263373
Oct,2015,Tampa,5396.58,organic,3.73211861951413
Oct,2015,Boise,5475.44,organic,3.73841902431471
May,2017,GrandRapids,5480.68,organic,3.73883444569722
Jan,2015,Indianapolis,5495.95,organic,3.74004277302841
Apr,2015,Albany,5606.54,organic,3.74869492498436
Sep,2015,MiamiFtLauderdale,5633.96,organic,3.75081375925591
Oct,2015,Syracuse,5694.91,organic,3.75548686505915
Sep,2015,Tampa,5710.65,organic,3.75668554350803
Oct,2016,GrandRapids,5741.67,organic,3.75903822799025
Oct,2015,MiamiFtLauderdale,5750.67,organic,3.75971844648991
Sep,2016,GrandRapids,5814.25,organic,3.76449370154625
Oct,2015,Louisville,5874.73,organic,3.76898791141957
Aug,2015,Tampa,5916.79,organic,3.77208615547616
Aug,2015,MiamiFtLauderdale,5956.33,organic,3.77497875106953
Nov,2015,Syracuse,6017.48,organic,3.77941465550642
Jun,2015,Syracuse,6049.66,organic,3.7817309673346
Feb,2016,Boise,6065.55,organic,3.78287018708803
Apr,2015,Louisville,6263.86,organic,3.79684204248748
Nov,2015,Louisville,6278.49,organic,3.79785520687085
Jul,2015,Tampa,6292.48,organic,3.79882184386228
Sep,2015,Pittsburgh,6334.53,organic,3.80171439728122
Jun,2015,Pittsburgh,6345.98,organic,3.80249869904342
Jan,2015,Tampa,6355.34,organic,3.80313878953582
Sep,2017,Boise,6359.24,organic,3.80340521572253
Nov,2015,Pittsburgh,6359.95,organic,3.8034537013702
Mar,2015,Syracuse,6404.22,organic,3.8064662425391
Dec,2016,Albany,6439.12,organic,3.80882651871725
Oct,2015,Pittsburgh,6518.33,organic,3.81413634347972
Apr,2015,Syracuse,6598.87,organic,3.8194695726963
Nov,2016,BuffaloRochester,6600.38,organic,3.81956893965587
Nov,2015,MiamiFtLauderdale,6609.18,organic,3.82014757997487
Aug,2015,Albany,6627.44,organic,3.82134580463797
Jan,2016,Pittsburgh,6628.35,organic,3.82140543261626
Sep,2016,Syracuse,6646.99,organic,3.82262502540449
Apr,2019,New Orleans/Mobile,6724.97,organic,3.82769035129697
Nov,2015,Boise,6756.99,organic,3.8297532761918
Feb,2015,Indianapolis,6816.62,organic,3.83356908444836
Sep,2015,Jacksonville,6888.99,organic,3.83815555433438
Mar,2016,Albany,6965.31,organic,3.84294045001962
Mar,2015,Louisville,6967.28,organic,3.84306326424656
Apr,2019,Jacksonville,6970.52,organic,3.84326517762553
Jan,2016,Louisville,6982.23,organic,3.84399415070641
Aug,2016,Albany,7003.29,organic,3.84530211046795
Jan,2015,MiamiFtLauderdale,7011.21,organic,3.84579297530977
Dec,2015,Jacksonville,7057.23,organic,3.84863427162191
Feb,2015,MiamiFtLauderdale,7064.32,organic,3.84907036371313
Feb,2019,New Orleans/Mobile,7083.6,organic,3.85025402926882
Jan,2016,Albany,7131.09,organic,3.85315591762253
Jun,2015,MiamiFtLauderdale,7154.71,organic,3.85459203530723
Dec,2015,Spokane,7156.23,organic,3.85468429026952
Sep,2015,Spokane,7185.64,organic,3.8564654552942
Jul,2015,BuffaloRochester,7196.56,organic,3.85712495059446
Aug,2017,Boise,7213,organic,3.85811593219007
Mar,2015,Albany,7220.69,organic,3.85857870018381
Jun,2015,Boise,7255.78,organic,3.86068410615864
Jun,2015,Indianapolis,7270.22,organic,3.86154755299664
