Month,Year,Volume
Jan,2015,311.35600843
Jan,2016,465.35244805
Jan,2017,520.69376675
Jan,2018,414.79433759
Jan,2019,485.10206488
Feb,2015,355.38289391
Feb,2016,420.08832152
Feb,2017,457.5365514
Feb,2018,481.65032537
Feb,2019,516.79291303
Mar,2015,409.1208595
Mar,2016,380.53376676
Mar,2017,343.23426446
Mar,2018,437.76140614
Mar,2019,611.89432015
Apr,2015,336.11290435
Apr,2016,389.46719746
Apr,2017,471.56789089
Apr,2019,413.02554825
May,2015,473.25685362
May,2016,545.8252814
May,2017,411.62254692
May,2019,214.581219
Jun,2015,374.96732001
Jun,2016,399.45064859
Jun,2017,396.63648579
Jul,2015,350.08101444
Jul,2016,453.88162529
Jul,2017,459.58760706
Aug,2015,410.82298289
Aug,2016,359.96705232
Aug,2017,327.22433508
Sep,2015,323.49195397
Sep,2016,352.05039154
Sep,2017,273.12253902
Oct,2015,300.07166059
Oct,2016,350.05620431
Oct,2017,347.62385938
Nov,2015,361.83962941
Nov,2016,251.23579749
Nov,2017,313.78445584
Dec,2015,290.09515464
Dec,2016,322.3410784
Dec,2017,443.53149074
